ConstituentID,DisplayName,Nationality,Gender
39912,Andrei Ujică,Romanian,Male
217,Gonzalo Ariza,Colombian,Male
23528,Lado Gudiashvili,Georgian,Male
10421,"Gittler Guitar Inc., New York, NY",,
5616,Kim Steele,American,Female
921,Lawrence Calcagno,American,Male
32475,Robert del Naja,British,Male
6833,Michael Sorkin,American,Male
8660,Raymond Riley,American,Male
3439,Fernando Leal,Mexican,Male
6090,Julius Vannerson,American,Male
4890,Serge Rezvani,French,Male
67802,Gerard Little,American,
4990,Georg Walter Roessner,German,Male
707,Harry Bouras,American,Male
41935,Robert McKimson,American,Male
4429,Don Ornitz,American,Male
34541,Gilbert Bretterbauer,Austrian,Male
10523,"Gebrüder Junghans AG, Schramberg, Germany, est. 1861",,
7664,John Claude White,British,Male
23618,Liverii Bazankur,,
5094,Mario Russo,Italian,Male
48104,Alfred Le Petit,,
67451,Xiao Yu,Chinese,Male
33112,Tomáš Gabzdil Libertíny,Slovak,Male
6107,Various Artists,,
4996,Rogi André (Rozsa Klein),Hungarian,Female
6749,Charles Huffman,Nationality unknown,Male
2253,Tom Gormley,American,Male
50017,Virgilio Villalba,Argentine,Male
3363,Bengt Landin,Swedish,Male
8427,Louis Henry,American,Male
6005,Timm Ulrichs,German,Male
3636,Norman Lundin,American,Male
67987,Amalia Pica,Argentine,Female
49822,Louis Jammes,French,
4058,Claude Monet,French,Male
4562,Abigail Perlmutter,American,Female
32354,Alain Resnais,French,Male
2183,Allan Gittler (Avraham Bar Rashi),American,Male
46463,Peter Gabriel,British,Male
7890,Ce Roser,American,Female
7392,Donald T. Chadwick,American,Male
32103,Pietro Derossi,Italian,Male
2881,Marcel Janco,Israeli,Male
26620,Regina Silveira,Brazilian,Female
45800,Mladen Stilinović,Croatian,Male
6744,Myer Abel,American,Male
67325,Carlos Saura,Spanish,Male
8182,Josef Kohn,Austrian,Male
45591,Mauricio Pezo,Chilean,Male
58,Antoine Samuel Adam-Salomon,French,Male
32366,Shelly Silver,American,Female
10219,"Amcor, Ltd., Tel Aviv",,
23720,Grigorii Miller,,Male
4588,Emilio Pettoruti,Argentine,Male
30897,Michael Elmgreen,Danish,Male
75015,Sanlé Sory,Burkinabe,Male
335,Ernst Barlach,German,Male
18844,Ernst Caramelle,Austrian,Male
47477,Gino Cantarelli,Italian,Male
41155,Marie Rosalie (Mitzi) Friedmann-Otten,Austrian,Female
45549,Justino Serralta,Uruguayan,Male
1591,William Doriani,American,Male
36998,Leading Edge Design Corp.,Japanese,
1518,John Edward Devine,American,Male
67481,Boris Magaš,,
3217,Henning Koppel,Danish,Male
49495,Joshua White,American,Male
38897,Reid Miles,American,Male
39283,Betsy Connors,,
618,Erwin Blumenfeld,German,Male
9386,Bent Nobert MDD Industrial Design APS,,
7993,Constantin Boym,American,Male
23480,Leonid Golubev-Bagriaporobnii,,Male
1159,Prunella Clough,British,Female
41906,Clive Donner,British,Male
5917,Tomonori Toyofuku,Japanese,Male
1851,Herbert Ferber,American,Male
662,Dusti Bongé,American,Female
22960,"Symanka Karbaum/Scharf Hagelbergerstr, Berlin",German,
44538,Deborah Stratman,American,Female
7388,Matthew Abbott,British,Male
3860,Paul Mayen,American,Male
75060,Susan Tremblay,American,Female
24506,I. I. Brodskii,,
45998,Relative Wave,,
22595,Gregg A. Pasquarelli,American,Male
41332,Bernardo Ortiz Campo,Colombian,Male
48084,Unknown Designer,Puerto Rican,
33208,realities:united,German,
8148,Guglielmo Berchicci,Italian,Male
21088,"Salvatore Silkscreen Co., Inc.",,
49659,Robert Silvers,American,Male
1884,Lothar Fischer,Nationality unknown,Male
4737,David Prifti,American,Male
23368,Anonymous Child,,
7188,Hancock Laverne,American,Male
26152,James Dyson,British,Male
8190,Catherine Opie,American,Female
44508,Delia Smith,British,Female
48231,Dražen Kalenić,,
5541,Southworth and Hawes,American,
74688,Bill Freeland,American,Male
8385,Frank Newbould,British,Male
74680,Thomas Haynes,,Male
8428,Ron Arad,British,Male
3520,Helen Levitt,American,Female
23753,Ivan Bilibin,,Male
1776,Merlyn Evans,British,Male
35484,Donald Fagen,American,Male
42744,Laura Diaz Milán,,
1873,Robert Filliou,French,Male
37815,Marie Caillou,,Female
3317,Robert Kushner,American,Male
29681,"grupo aranea, Alicante",,
10526,"Airborne, France",French,
41315,Ray Lowry,British,Male
19660,Annette Rosado,American,Female
10275,"Grand Bleu, Inc., Japan",,
35744,deepdesign,,
30915,Jef Geys,Belgian,Male
24777,Maria Magdalena Campos-Pons,Cuban,Female
4093,Morillon,French,
28422,Emily Jacir,American,Female
9389,"Kandya, England",,
3676,Robert Macpherson,British,Male
8535,"Fairchild Aerial Surveys, Inc.",,
2759,Sipke Huismans,Dutch,Male
30884,Patrick Corillon,Belgian,Male
13422,Columbia Records,,
31555,Jed Johnson,American,Male
74479,Martha Tuttle,American,Female
8015,Eric Goetz,American,Male
4465,Walter Pach,American,Male
378,John Battan,American,Male
68998,Miuccia Prada,Italian,Female
7465,Elyn Zimmerman,American,Female
40552,Quay Brothers,American,Male
45973,The Living,,
5588,Lawrence Stafford,American,Male
117,William Allan,American,Male
46774,Gavin Cochrane,British,Male
46,Sigmund Abeles,American,Male
24551,Edward W. Quigley,American,Male
6667,Ch Doudelet,Belgian,Male
29219,K8 Industridesign,Norwegian,
3354,Mark Lancaster,British,Male
5060,Riba Rovira,Spanish,Female
7495,Giulio Paolini,Italian,Male
2195,Hermann Glockner,German,Male
5552,Gregory Spaid,American,Male
1771,Richard Eurich,British,Male
9903,"Konrad König, Munich",,Male
36010,Lukas Moodysson,Swedish,Male
632,Ricardo Bofill,Spanish,Male
2767,Bryan Hunt,American,Male
28123,Rainald Goetz,German,Male
1333,Ben Cunningham (Benjamin Frazier Cunningham),American,Male
74658,Mike Metz,American,Male
1678,Don Eddy,American,Male
